match_id,team,shots,shots_on_target,goals,corners,fouls_committed,fouls_won,offsides,yellow_cards,second_yellow_cards,red_cards,passes_attempted,passes_completed,substitutions_used
3857278,Iran,4,1,0,1,21,11,2,3,0,0,515,402,5
3857278,United States,12,5,1,5,13,17,1,1,0,0,517,426,5
3857254,Denmark,11,5,0,11,13,9,1,2,0,0,646,544,4
3857254,Tunisia,13,1,0,9,10,13,1,1,0,0,417,315,5
3869253,South Korea,8,6,1,4,12,8,5,1,0,0,555,476,5
3869253,Brazil,18,10,4,5,8,11,0,0,0,0,641,566,5
3869684,Croatia,12,4,2,6,14,15,2,0,0,0,528,439,4
3869684,Morocco,9,2,1,3,15,14,2,2,0,0,512,431,5
3857257,Denmark,14,4,0,6,10,11,3,1,0,0,715,590,5
3857257,Australia,8,4,1,2,12,9,1,2,0,0,350,219,4
3857282,United States,6,1,1,5,17,10,1,4,0,0,610,520,5
3857282,Wales,7,3,1,3,10,16,1,2,0,0,443,339,4
3857296,Croatia,11,4,0,2,11,10,4,0,0,0,609,514,3
3857296,Belgium,16,3,0,4,10,10,0,1,0,0,630,543,5
3869254,Switzerland,10,3,1,6,15,14,3,2,0,0,528,438,5
3869254,Portugal,15,9,6,6,14,15,3,0,0,0,488,404,5
3857279,France,23,6,4,8,4,14,0,0,0,0,763,680,5
3857279,Australia,4,1,1,1,14,4,0,3,0,0,475,394,5
3857272,England,8,3,0,3,11,15,1,0,0,0,582,500,3
3857272,United States,10,1,0,7,16,11,0,0,0,0,456,377,4
3857277,Morocco,8,2,0,0,18,12,0,1,0,0,384,301,4
3857277,Croatia,5,1,0,5,12,17,1,0,0,0,686,577,4
3869118,Senegal,10,1,0,3,13,16,0,1,0,0,408,323,5
3869118,England,8,4,3,3,16,13,0,0,0,0,626,536,5
3857264,Poland,4,0,0,1,9,12,0,1,0,0,337,267,5
3857264,Argentina,24,13,2,8,12,9,0,1,0,0,909,826,5
3857288,Australia,9,2,1,2,16,12,0,0,0,0,404,274,5
3857288,Tunisia,14,4,0,5,15,14,3,3,0,0,548,406,4
3857292,Germany,31,11,4,14,9,4,3,0,0,0,766,669,5
3857292,Costa Rica,7,5,2,1,4,9,4,1,0,0,374,284,5
3869685,France,10,5,3,5,19,26,4,3,0,0,570,434,7
3869685,Argentina,20,10,3,6,29,18,4,5,0,0,693,560,6
3869486,Portugal,12,3,0,9,9,17,2,1,0,0,731,616,5
3869486,Morocco,9,3,1,3,18,9,2,2,1,1,249,184,5
3869552,Morocco,13,2,0,3,14,14,3,1,0,0,615,529,5
3869552,France,14,2,2,2,14,13,4,0,0,0,387,316,2
3857295,Costa Rica,4,1,1,0,13,23,2,3,0,0,470,374,4
3857295,Japan,13,3,0,5,24,13,0,3,0,0,619,527,5
3857281,Croatia,13,10,4,5,15,5,1,2,0,0,507,411,5
3857281,Canada,8,2,1,2,6,15,3,2,0,0,529,437,5
3857287,South Korea,7,0,0,3,11,7,0,1,0,0,463,351,3
3857287,Uruguay,10,1,0,4,7,11,1,1,0,0,570,475,4
3857299,South Korea,21,6,2,12,15,10,1,2,0,0,605,499,4
3857299,Ghana,7,3,3,5,10,15,1,2,0,0,340,266,5
3857294,Netherlands,13,4,2,4,19,7,4,1,0,0,832,747,5
3857294,Qatar,5,3,0,2,8,18,0,0,0,0,486,396,5
3869220,Spain,12,1,0,8,14,18,4,1,0,0,1068,960,6
3869220,Morocco,6,2,0,0,19,14,5,1,0,0,365,250,6
3857297,Poland,9,3,2,4,18,15,0,3,0,0,337,259,2
3857297,Saudi Arabia,17,5,0,5,16,17,0,2,0,0,582,489,5
3857263,Spain,7,3,1,6,14,15,2,1,0,0,663,578,4
3857263,Germany,11,4,1,5,15,13,5,3,0,0,371,291,5
3857283,Belgium,10,4,0,9,10,16,3,1,0,0,703,604,5
3857283,Morocco,10,4,2,1,16,9,3,1,0,0,347,287,5
3869321,Netherlands,7,2,2,2,37,20,1,7,1,1,691,572,5
3869321,Argentina,14,5,2,8,22,37,2,8,0,0,640,531,6
3857265,Mexico,11,4,0,6,14,14,3,2,0,0,544,437,3
3857265,Poland,6,2,0,5,15,14,0,1,0,0,362,259,3
3857301,Qatar,10,3,1,6,11,13,4,3,0,0,452,362,4
3857301,Senegal,12,4,3,6,13,10,3,3,0,0,547,462,5
3857258,Brazil,23,9,2,5,8,11,1,0,0,0,618,539,5
3857258,Serbia,5,0,0,4,11,7,0,3,0,0,446,351,5
3869151,Australia,5,1,1,3,18,8,0,2,0,0,478,384,5
3869151,Argentina,14,5,2,1,9,16,4,0,0,0,728,646,5
3857286,Qatar,5,0,0,1,17,14,3,4,0,0,468,382,2
3857286,Ecuador,6,3,2,3,14,17,4,2,0,0,519,432,4
3857267,Ecuador,9,4,1,3,23,8,0,0,0,0,465,362,4
3857267,Senegal,13,3,2,6,10,22,3,1,0,0,311,213,3
3869117,Netherlands,11,6,3,4,11,4,0,2,0,0,439,332,5
3869117,United States,18,6,1,5,5,11,3,0,0,0,618,499,5
3857269,Switzerland,6,0,0,3,18,10,1,1,0,0,513,428,5
3857269,Brazil,13,5,1,8,10,18,3,1,0,0,597,507,5
3857275,Tunisia,5,3,1,7,16,8,3,1,0,0,361,275,3
3857275,France,10,3,0,8,8,16,2,0,0,0,661,564,5
3857268,Canada,22,3,0,4,15,10,1,2,0,0,480,401,5
3857268,Belgium,9,3,1,4,11,15,0,3,0,0,534,451,4
3869219,Croatia,17,4,1,5,16,13,0,2,0,0,796,657,6
3869219,Japan,13,4,1,8,13,15,3,0,0,0,582,436,5
3857293,Uruguay,12,6,2,2,11,19,2,5,0,0,469,364,5
3857293,Ghana,9,4,0,5,21,11,1,2,0,0,493,384,5
3857274,Ecuador,15,4,1,5,13,14,3,1,0,0,463,359,3
3857274,Netherlands,2,1,1,2,16,12,1,0,0,0,552,457,4
3869152,France,16,8,3,7,11,10,2,1,0,0,593,505,4
3869152,Poland,12,2,1,1,10,10,1,2,0,0,488,406,5
3857260,Mexico,26,10,2,8,18,21,6,1,0,0,488,367,5
3857260,Saudi Arabia,10,2,1,1,21,16,2,6,0,0,322,194,4
3857289,Mexico,4,1,0,2,21,14,4,4,0,0,403,304,4
3857289,Argentina,5,2,2,4,15,20,2,1,0,0,567,476,5
3857255,Spain,12,5,1,2,8,11,2,0,0,0,1093,993,5
3857255,Japan,6,3,2,0,11,8,2,3,0,0,253,177,5
3857298,Portugal,11,5,3,3,15,20,1,2,0,0,665,576,5
3857298,Ghana,9,3,2,3,20,15,1,4,0,0,415,336,5
3857300,Saudi Arabia,3,2,2,2,22,6,1,6,0,0,286,197,5
3857300,Argentina,15,6,1,9,7,22,10,0,0,0,646,542,4
3857261,Wales,7,1,0,1,19,11,1,2,0,0,351,274,5
3857261,England,18,7,3,6,11,17,1,0,0,0,630,553,5
3869519,Croatia,12,2,0,4,10,20,0,2,0,0,648,559,5
3869519,Argentina,9,7,3,2,20,10,1,2,0,0,432,358,5
3857291,Spain,17,8,7,5,8,13,3,0,0,0,1090,1009,5
3857291,Costa Rica,0,0,0,0,14,7,7,2,0,0,250,172,5
3857262,South Korea,12,6,2,5,9,10,1,2,0,0,388,309,4
3857262,Portugal,13,6,1,4,10,9,5,0,0,0,619,534,5
3857284,Germany,26,9,1,6,7,13,4,0,0,0,826,723,5
3857284,Japan,12,4,2,6,15,7,4,0,0,0,294,215,5
3857259,Serbia,15,5,3,3,16,9,4,2,0,0,536,428,5
3857259,Cameroon,13,8,3,4,9,15,0,2,0,0,395,276,5
3857276,Morocco,7,2,2,2,15,16,4,0,0,0,393,310,5
3857276,Canada,5,0,1,6,16,15,4,4,0,0,562,480,5
3857290,Switzerland,7,3,1,11,14,10,2,2,0,0,549,461,5
3857290,Cameroon,8,5,0,5,10,13,2,1,0,0,533,440,4
3857273,Wales,10,3,0,2,9,10,2,1,0,1,559,438,4
3857273,Iran,21,6,2,7,10,9,2,2,0,0,363,227,5
3857256,Switzerland,14,7,3,0,14,20,0,4,0,0,445,346,4
3857256,Serbia,12,4,2,2,21,14,0,7,0,0,521,407,5
3869420,Croatia,9,1,1,3,23,23,3,2,0,0,737,639,5
3869420,Brazil,20,11,1,7,25,23,3,3,0,0,747,652,5
3869354,France,8,5,2,2,15,10,2,3,0,0,412,328,1
3869354,England,16,7,1,5,10,15,1,1,0,0,554,465,4
3857266,Denmark,10,2,1,4,11,4,1,2,0,0,567,479,4
3857266,France,21,6,2,6,4,11,1,1,0,0,540,464,4
3857280,Brazil,21,8,0,11,15,14,1,2,0,0,593,512,5
3857280,Cameroon,7,3,1,3,17,15,0,4,1,1,333,254,3
3857285,Netherlands,10,3,2,7,16,12,1,1,0,0,491,393,4
3857285,Senegal,15,4,0,6,13,16,2,2,0,0,430,344,4
3857271,Iran,8,3,2,0,21,9,2,2,0,0,247,163,6
3857271,England,13,7,6,8,9,17,2,0,0,0,846,746,5
3857270,Uruguay,11,3,0,2,16,10,0,2,0,0,438,324,5
3857270,Portugal,15,3,2,6,11,13,3,3,0,0,626,525,5
